Judge: Lightning,EDITING /24,,VFX /18,,,ARTISTIC CHOICE /12,,,,,,,,,,,,,,,,,
,Rhythm and Synchronization /12,Scene Selection /12,Compositing / Integration /6,Consistency / Logic /6, Technical Complexity /6,CC / Color Grading /6,Concept & Narrative /6,ENCODING & MIXING /6,,GLOBAL RANKING,Shinryu,"55,5",,,,,,,,,,,
DarkVoodoo,8,8,"3,5",4,"4,5","4,5","4,5",6,,,Fnalex,53,,,,,,,,,,,
ShinRyu,11,"10,5",5,6,6,5,6,6,,,"Amanystya, Cmoididi",51,,,,,,,,,,,
Twister,"10,5",10,4,5,"4,5","4,75","4,5",6,,,Twister,"49,5",,,,,,,,,,,
Xorv,8,7,3,"4,5","3,5",4,"3,5",6,,,Glave,"48,5",,,,,,,,,,,
"Amanystya, Cmoididi",11,10,5,6,4,6,3,6,,,NO-1,"48,25",,,,,,,,,,,
AnthoMV,8,7,5,3,"2,5","4,5","2,5",6,,,Steiner,"46,75",,,,,,,,,,,
Athrun,8,8,"3,5","4,5",4,4,"4,5","4,5",,,Dawait,"46,5",,,,,,,,,,,
Ceirin,8,"7,5","4,5",5,3,"4,5",4,5,,,Sachavalentine,"44,5",,,,,,,,,,,
Celso,8,7,3,"3,5",4,"3,5","3,25",6,,,Darkvoodoo,43,,,,,,,,,,,
DaWait,"9,5",9,5,5,4,5,3,6,,,Ceirin,"41,5",,,,,,,,,,,
Cmoididi,"7,5","7,25",3,3,2,"4,5",3,6,,,Flo55,"42,25",,,,,,,,,,,
Fernouille,8,7,3,3,4,"3,5",3,6,,,Athrun,41,,,,,,,,,,,
flo55,8,"8,25",4,4,3,4,5,6,,,KiRr,41,,,,,,,,,,,
Glave,"9,5",9,5,5,"4,5","5,5",4,6,,,Xorv,"39,5",,,,,,,,,,,
KiRr,9,"8,5",4,4,3,"4,5",3,5,,,AnthoMV,"38,5",,,,,,,,,,,
"Kyutana, Bankai","6,5",8,3,3,2,"4,25",3,6,,,RedAssaut,"38,5",,,,,,,,,,,
Steiner,"9,25",8,"4,5",5,"4,5","5,5",4,6,,,Celso,"38,25",,,,,,,,,,,
Miwo,8,7,3,3,2,"4,5",4,6,,,Fernix ,"37,5",,,,,,,,,,,
NO-1,9,9,"4,75","4,5",5,"5,5","4,5",6,,,Miwo,"37,5",,,,,,,,,,,
SachaValentine,9,9,3,"4,5","3,5","4,5",5,6,,,Cmoididi,"36,25",,,,,,,,,,,
RedAssaut,9,9,"2,5",3,"2,5","3,5",3,6,,,Kyutana/Bankai,"35,75",,,,,,,,,,,
Maeru,8,8,2,2,2,"3,5",3,6,,,Maeru,"34,5",,,,,,,,,,,
Fnalex,10,10,5,6,6,5,5,6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
FINAL SCORES,DarkVoodoo,ShinRyu,Twister,Xorv,"Amanystya, Cmoididi",AnthoMV,Athrun,Ceirin,Celso,DaWait,Cmoididi,Fernouille,flo55,Glave,KiRr,"Kyutana, Bankai",Steiner,Miwo,NO-1,SachaValentine,RedAssaut,Maeru,Fnalex
EDITING /24,16,"21,5","20,5",15,21,15,16,"15,5",15,"18,5","14,75",15,"16,25","18,5","17,5","14,5","17,25",15,18,18,18,16,20
VFX /18,12,17,"13,5",11,15,"10,5",12,"12,5","10,5",14,8,10,11,"14,5",11,8,14,8,"14,25",11,8,6,17
ARTISTIC CHOICE /12,9,11,"9,25","7,5",9,7,"8,5","8,5","6,75",8,"7,5","6,5",9,"9,5","7,5","7,25","9,5","8,5",10,"9,5","6,5","6,5",10
ENCODING & MIXING /6,6,6,6,6,6,6,"4,5",5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6
TOTAL /60,43,"55,5","49,25","39,5",51,"38,5",41,"41,5","38,25","46,5","36,25","37,5","42,25","48,5",41,"35,75","46,75","37,5","48,25","44,5","38,5","34,5",53