Juges : Steiner,MONTAGE /20,,VFX /15,,,CHOIX ARTISTIQUE /11,,,,,,,,,,,
,Rythme / Synchro /10,Sélection de scène /10,Incrustation / Intégration /5,"
Cohérence / Logique /5",Compléxité technique /5,CC / Colorimétrie /4,Concept / Story /4,Choix du jury /3,ENCODAGE /2,MIX AUDIO /2,,,,,,,
YiFan,9,"8,5",3,5,4,"2,5",3,0,2,2,,,,,,,
xBlueSenpai,6,5,0,5,0,"2,5",3,0,2,2,,,,,,,
UdSnow,8,9,"3,5",4,"3,5",3,2,0,"1,5",2,,,,,,,
Starpun,3,1,0,5,0,0,1,0,1,2,,,,,,,
SadSack,9,8,0,5,1,0,1,0,0,2,,,,,,,
Rhythm,8,8,"2,5",4,"3,25","1,5",3,0,"1,5","1,5",,,,,,,
Netsuma,"7,5","6,5",3,4,3,"1,75","2,5",0,2,2,,,,,,,
Lunikyuu,"7,5",7,3,"3,25",3,"2,5","2,5",0,1,1,,,,,,,
Louisfx,"8,5","9,5","3,5","4,5",4,"3,5",4,0,2,2,,,,,,,
Leothetower,9,7,1,3,1,1,0,0,0,2,,,,,,,
Koshiro,7,7,2,"2,5","2,5","1,5",3,0,1,2,,,,,,,
KiyoshiHT,"6,5","7,5",1,3,2,"1,5",3,0,2,2,,,,,,,
Grégory,7,8,"3,5",4,2,"2,25",3,0,"1,5",2,,,,,,,
FamPlayAMV,5,4,1,4,"0,5",1,0,0,1,1,,,,,,,
eliclic,6,6,1,2,1,2,3,0,2,"1,5",,,,,,,
ComplicatedMuse,8,7,"2,5",4,3,2,3,0,1,1,,,,,,,
AkaiMV,7,6,2,2,"1,5","1,5","2,5",0,"0,5",1,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FINAL SCORES,YiFan,xBlueSenpai,UdSnow,Starpun,SadSack,Rhythm,Netsuma,Lunikyuu,Louisfx,Leothetower,Koshiro,KiyoshiHT,Grégory,FamPlayAMV,eliclic,ComplicatedMuse,AkaiMV
MONTAGE /20,"17,5",11,17,4,17,16,14,"14,5",18,16,14,14,15,9,12,15,13
VFX /15,12,5,11,5,6,"9,75",10,"9,25",12,5,7,6,"9,5","5,5",4,"9,5","5,5"
CHOIX ARTISTIQUE /11,"5,5","5,5",5,1,1,"4,5","4,25",5,"7,5",1,"4,5","4,5","5,25",1,5,5,4
ENCODAGE /2,2,2,"1,5",1,0,"1,5",2,1,2,0,1,2,"1,5",1,2,1,"0,5"
MIX AUDIO /2,2,2,2,2,2,"1,5",2,1,2,2,2,2,2,1,"1,5",1,1
TOTAL /50,39,"25,5","36,5",13,26,"33,25","32,25","30,75","41,5",24,"28,5","28,5","33,25","17,5","24,5","31,5",24