	Rhythm / Synchronization /10	Scene selection /10	Incrustation / Integration /5	Coherence / Logic /5	Technical complexity /5	CC / Colorimetry /4	Concept / Story /4	Jury's choice /3	ENCODING /2	AUDIO MIX /2	TOTAL
Elixir & SliceofLife - Start Again	9	10	4	5	3	3,5	3	3	2	2	44,5
Syeroz - Unalive Growth	10	10	4	4	4	4	3	2	2	1,5	44,5
Novartz - Her	9	10	4	5	3	3	2,5	2	2	1,5	42
Damis, Ceirin, Antho, JIGSAW, phin (MEP) - LAMENTO	9	8,5	4	5	4	3,5	4	0	2	1,5	41,5
BxP - The Fool	10	9	3	4	2,5	3	2,5	3	2	1,5	40,5
Ben - Kepler	8,5	7,5	3,5	4	3,5	3,5	3,5	1	2	2	39
Gomibako Team (MEP) - r4cc00ns.com	7	8	3,5	4	3,5	3,5	4	2	1,5	1	38
FT - Overwhelm	8	8	4	4	3	4	2,5	0	2	1,5	37
Neru - U give me depression	8,5	7,5	3	3,5	3	3	2,5	1,5	2	1	35,5
Suuukaaa - Solaris	9	8	3	3	2,5	3	2	1,5	2	1,5	35,5
xBlueSenpai - Soul Tied	7	9	2	2,5	2	2,5	4	1	1,5	1,5	33
E_01 - Losing Faith	8,5	8,5	3	2,5	2,5	2	1	1,5	1,5	1,5	32,5
Rav - Miraie	8	7	3	3	2,5	2,5	1,5	1	2	1	31,5
Guodan - Mythos, Cosmic Dissolver	10	7	2	2	1	2	1	1	2	1,5	29,5
Koshiro & Maeru - Flower's Curse	8	7	2	2	2	1,5	2	1	2	2	29,5
Spike - Go Beyond!	8	9	2	2	2	1,5	2	1	1	1	29,5
UdSnow - BLOODY EXPLOSION	8,5	7	2	2,5	2	2	2	0	2	1,5	29,5
Ybecia - How unpleasant	7	7	3	3	2	2	1,5	0	1	1,5	28
Kizuryu - ADREN	8	8	1	1	1	1,5	2	2	1,5	1,5	27,5
Kyutana- La Bête du Gévaudan	6,5	7,5	1,5	3	2,5	1	3	0	1	1	27
Netsuma - Nezuko runing	6,5	7	1	2	2	1	2,5	1	1,5	1,5	26
NO-1 - Boom	8	8	1	2,5	1	1,5	1	0	2	0,5	25,5
BlackOperationz & Didouche - Survival	7	6,5	1,5	2	1,5	1,5	1	0	1	1,5	23,5
Isashii - GASLINE	7,5	6,5	1,5	2	1	1,5	1	0	1	1,5	23,5
Danny - BabyMonster	6,5	7	1	1	1	1,5	1,5	0,5	1,5	1,5	23
Violent Blue - Time Will Tell	7,5	6,5	1,5	1	1	1	1	0	2	1,5	23
Republic - Rezee	7	7	1	1,5	1	1	1	0,5	1,5	1	22,5
Hadezt - Yomei senkoku	6	6	1,5	1	1	1,5	1	0,5	2	1,5	22
Karma & Z3phyrs &  Koshiro & Kota & Isashii (MEP) - Octane	6	6,5	1	1	1,5	1,5	1	1	1	1	21,5
MinekoNYAN - Chemicals	7	5	1	1,5	1	1	1,5	1	1,5	1	21,5
BlackRockAMVs - Tick, Tick, Boom	5,5	5,5	1,5	1,5	1	1,5	1,5	0	1,5	1,5	21
Koshiro - COSMO	6	7	1	1	1	1	1	0	2	1	21
Urama - Falling For Her	5,5	6	1,5	1,5	1,5	1	1,5	0	1	1,5	21
Safi - LOVE YOU LESS	5	5	1	1,5	1,5	1,5	1,5	0	2	1,5	20,5
BoxJoe - Daddy Duo	3,5	4	1,5	2	1	1,5	2	1	2	1,5	20
Pred Wendigo Pro - The Forbidden Masturbating	8	4	1	1	1	1	1	0,5	1,5	1	20
xSkylark - Not Enough	5	4	1	1,5	1,5	1,5	2	0	1	1,5	19
Beepo - Hotter than the Trees	3	4	1	1,5	1,5	1	2,5	0,5	2	0,5	17,5
KarmaAMV - Burn Your Cosmos	2,5	5	1	1	1	1	1	0	1,5	1,5	15,5
Szar AMVk Itt Vannak - All the Things She Said	2	2	1	1	1,5	1	1,5	0	1	1	12
Eddy AMV - Cynic	2	2	1	1	1	1	1	0	0,5	0,5	10
Rubina980 - Applause	1	1	1	1	1	1	1	1	0	1	9
Judge:	ASSEMBLY /20		VFX /15			ARTISTIC CHOICE /11